tract,prostitution,theft,liquor_law_violation,burglary,public_peace_violation,homicide,battery,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,crim_sexual_assault,criminal_trespass,criminal_damage,sex_offense,stalking,deceptive_practice,obscenity
17031080201,-0.172636556,-0.490985156,-0.603721657,-1.296567235,-0.751832699,-0.537412997,-0.986009356,-0.522794606,-0.621650421,-0.393732288,-0.873152565,-0.917166323,-1.328131459,-0.284556406,-0.133796304,-0.757496722,-0.817167816,-0.394187556,-0.652269171,-0.776352804,-0.445162049,-1.398899589,-0.764085418,-0.384012511,-0.256787704,-0.152108981
17031090100,-0.242676907,-0.861734875,-0.603721657,-1.072746836,-0.751832699,-0.537412997,-1.002409051,-0.522794606,-0.586347687,-0.393732288,-0.569898916,-0.960327416,-1.332668938,-0.284556406,-0.133796304,-0.757496722,-0.870885639,-0.394187556,-0.652269171,-0.776352804,-0.290758116,-1.118875315,-0.764085418,-0.384012511,-0.306257665,-0.152108981
17031110501,-0.242676907,-0.622915197,-0.603721657,-0.767145327,-0.751832699,-0.537412997,-0.865024821,0.091400168,-0.55255173,-0.393732288,-0.205393128,-0.962743722,-0.902422251,-0.284556406,-0.133796304,-0.757496722,-0.825495358,-0.394187556,-0.652269171,-0.776352804,-0.371152934,-0.778119617,-0.764085418,-0.384012511,-0.313627222,-0.152108981
17031170100,-0.242676907,-0.003137902,-0.603721657,-1.172001309,-0.409837784,-0.537412997,-0.836583651,-0.522794606,-0.621650421,-0.393732288,-0.283781174,-0.706799798,-0.844941724,-0.284556406,-0.133796304,-0.757496722,-0.59087654,-0.394187556,-0.652269171,-0.776352804,-0.107010209,-1.287265088,-0.764085418,-0.384012511,-0.048390939,-0.152108981
17031210800,-0.050183068,-0.547506288,-0.603721657,-0.26650759,-0.751832699,-0.537412997,-0.678108103,-0.522794606,-0.420637359,-0.393732288,-0.873152565,-0.536302914,0.879942613,-0.284556406,-0.133796304,-0.757496722,-0.829810817,-0.394187556,-0.652269171,-0.776352804,-0.152835375,-0.326488718,-0.764085418,-0.384012511,-0.077710251,-0.152108981
17031220300,-0.242676907,-0.344527736,-0.603721657,0.19165433,-0.751832699,-0.537412997,-0.860627382,-0.522794606,-0.583526155,-0.393732288,0.600556298,-0.829004034,0.690774567,-0.284556406,-0.133796304,-0.757496722,-0.732206402,-0.394187556,-0.652269171,-0.776352804,-0.170033633,-1.183932905,-0.764085418,-0.384012511,-0.323233637,-0.152108981
17031283200,-0.242676907,-0.095955836,-0.603721657,-0.502582738,-0.391751515,-0.537412997,-0.239208583,-0.522794606,-0.477172283,-0.393732288,-0.252612496,-0.532945107,-0.683143958,-0.284556406,-0.133796304,-0.757496722,-0.074768258,-0.394187556,-0.652269171,-0.776352804,-0.326103872,-0.814284226,-0.764085418,-0.384012511,-0.121417074,-0.152108981
17031570100,0.123627997,0.604249637,1.617124549,0.172316431,-0.275161983,-0.537412997,-0.396474638,-0.522794606,-0.239133917,-0.393732288,-0.873152565,-0.664610155,1.280011472,-0.284556406,-0.133796304,-0.757496722,-0.311051357,-0.394187556,-0.652269171,-0.776352804,-0.168979533,-0.819888581,-0.764085418,-0.384012511,0.027841076,-0.152108981
17031640100,-0.242676907,0.405423042,-0.603721657,-1.052837682,-0.25705558,-0.537412997,-0.33484023,-0.522794606,-0.489301606,-0.393732288,-0.873152565,-0.012362969,0.317885546,-0.284556406,-0.133796304,-0.757496722,-0.422456583,-0.394187556,-0.652269171,-0.776352804,0.281117079,0.554059315,-0.764085418,-0.384012511,-0.018861399,-0.152108981
17031720400,-0.242676907,-0.755099693,0.847215808,-1.195847222,-0.751832699,-0.537412997,-0.8822086,3.919902212,-0.496696355,-0.393732288,-0.336469261,-0.939965807,-1.123531367,-0.284556406,-0.133796304,-0.757496722,-0.882051599,-0.394187556,-0.652269171,-0.776352804,-0.347645361,-1.258542988,-0.764085418,-0.384012511,0.039127642,-0.152108981
