tract,prostitution,other_offense,theft,liquor_law_violation,non_criminal,burglary,public_peace_violation,other_offense_,ritualism,homicide,battery,interfere_with_public_officer,offenses_involving_children,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,non_criminal__subject_specified_,crim_sexual_assault,criminal_trespass,domestic_violence,criminal_damage,sex_offense,stalking,other_narcotic_violation,deceptive_practice,obscenity
17031440300,0,7.357578306,33.63464368,0,0,5.465629598,0,0,0,0,22.28295144,0,0,0,7.357578306,0,1.261299138,6.306495691,10.51082615,0,0,1.051082615,8.408660921,0,0.210216523,0,1.681732184,2.10216523,0,15.5560227,0,0.420433046,0,6.516712214,0
17031560800,0,3.326557013,15.33912401,0.184808723,0,3.141748291,0.184808723,0,0,0,6.468305304,0,0,0.184808723,4.98983552,0,0.739234892,2.587322122,2.402513399,0,0,0.369617446,0.739234892,0,0.184808723,0,0.184808723,1.84808723,0,7.761966365,0,0.184808723,0,3.880983182,0
17031730600,0,8.854454898,21.58273381,0,0,12.72827892,0,0,0,0,20.75262867,0,0,0,22.96624239,0,1.383508578,8.301051467,7.747648035,0,0,0.830105147,5.810736027,0,0.830105147,0,0.553403431,1.660210293,0,17.15550636,0,0.276701716,0,5.810736027,0
17031842500,2.855977152,19.17584659,39.16768666,0,0,15.50387597,3.671970624,0,0,0.407996736,97.10322317,0,0,0.407996736,26.92778458,0,2.447980416,31.41574867,10.60791514,0,0,4.487964096,13.05589555,0,1.223990208,0,2.03998368,59.56752346,0,30.5997552,0,0.407996736,0,3.671970624,0
17031510300,0,8.208955224,38.05970149,0,0,15.67164179,1.119402985,0,0,0.932835821,34.70149254,0,0,0.186567164,7.462686567,0.186567164,1.305970149,13.24626866,4.850746269,0.373134328,0,2.985074627,7.462686567,0,0.373134328,0,1.119402985,2.611940299,0,21.26865672,0,0.186567164,0,7.462686567,0
17031071200,0,2.623294858,71.87827912,1.049317943,0,18.88772298,1.049317943,0,0,0,20.98635887,0,0,0,6.29590766,0,0,5.771248688,10.49317943,0,0,0,8.394543547,0.524658972,0.524658972,0,1.049317943,4.721930745,0,24.1343127,0,1.049317943,0,6.820566632,0
17031080400,0,10.19226315,54.43595089,0,0,7.180912671,1.158211721,0,0,0.463284688,32.66157054,0,0,0,13.89854065,1.389854065,3.242992819,10.88719018,1.389854065,0,0,0.926569377,3.474635163,0.231642344,0.231642344,0,0.694927033,24.55408849,0,15.52003706,0,0.231642344,0,6.254343294,0
17031200401,0.277546489,5.82847627,9.159034138,0,0,7.493755204,0.832639467,0,0,0,9.159034138,0,0,0,4.995836803,0,0.555092978,4.163197336,8.881487649,0,0,0.555092978,2.220371912,0.277546489,1.665278934,0,0.277546489,1.387732445,0,10.26922009,0,0.277546489,0,1.665278934,0
17031221400,0,2.98013245,39.73509934,0.993377483,0,2.98013245,0,0,0,0,13.90728477,0,0,0,5.960264901,0,0.331125828,1.324503311,5.960264901,0,0,0.331125828,2.649006623,0.662251656,1.324503311,0,0.662251656,2.649006623,0,10.26490066,0,0.331125828,0,3.311258278,0
17031282700,0,8.514261388,38.31417625,0.425713069,0,15.75138357,0.425713069,0,0,1.702852278,31.9284802,0,0,0,5.534269902,0,0.425713069,11.0685398,14.47424436,0,0,2.128565347,14.47424436,0.425713069,1.277139208,0,0.851426139,2.554278416,0,22.56279268,0,0.425713069,0,4.257130694,0
17031292500,0.966183575,8.937198068,28.98550725,0,0,8.695652174,0.483091787,0,0,0.483091787,43.71980676,0,0,0.724637681,15.70048309,0.724637681,1.207729469,12.80193237,6.763285024,0,0,1.690821256,11.352657,0.241545894,0.241545894,0,0.724637681,1.690821256,0,14.73429952,0,0.241545894,0,2.415458937,0
17031351400,0,19.48503827,35.49060543,0,0,8.350730689,1.391788448,0,0,0,50.80027836,0,0,0,25.05219207,0,3.47947112,20.1809325,4.871259569,0,0,2.783576896,7.654836465,1.391788448,0.695894224,0,0.695894224,6.263048017,0,24.35629784,0,0.695894224,0,4.175365344,0
17031670800,19.57186544,24.4648318,52.59938838,0,0,19.57186544,4.892966361,0,0,1.834862385,81.34556575,0,0,0,53.21100917,1.22324159,3.669724771,30.58103976,7.951070336,0.611620795,0,7.339449541,9.174311927,0.611620795,6.727828746,0,1.22324159,15.29051988,0,33.02752294,0,0.611620795,0,4.281345566,0
17031240500,0,2.221235007,35.09551311,0,0,17.76988005,0.444247001,0,0,0,7.107952021,0,0,0,2.221235007,0,0,2.221235007,7.107952021,0,0,0.444247001,2.221235007,0,0,0,0.444247001,0,0,15.99289205,0.888494003,0.444247001,0,4.886717015,0
17031060400,0,1.18694362,16.32047478,0.296735905,0,7.418397626,0.296735905,0,0,0,5.637982196,0,0,0,0.296735905,0,0.890207715,0.59347181,2.670623145,0,0,0,2.37388724,0,0,0,0,0.890207715,0,4.451038576,0.296735905,0.296735905,0,3.264094955,0
17031062900,0,1.006036217,24.14486922,0,0,12.07243461,0,0,0,0,4.527162978,0,0,0,1.257545272,0,0,1.257545272,3.772635815,0,0,0,4.527162978,0,0,0,0,2.766599598,0,7.796780684,0.503018109,0.251509054,0,2.012072435,0
17031170300,0,6.43400273,10.72333788,0,0,5.069214272,0.19496978,0,0,0.19496978,7.213881848,0,0,0,2.144667577,0,0.779879119,3.704425814,5.654123611,0,0,0,0.584909339,0,0,0,0,1.559758237,0,6.23903295,0.19496978,0.389939559,0,1.169818678,0
17031240600,2.059025395,2.745367193,26.08098833,0,0,12.35415237,0,0,0,0,25.39464653,0,0,0,4.804392588,0,0.686341798,5.490734386,3.431708991,0,0,0,6.177076184,0,0,0,0,2.059025395,0,8.236101579,1.372683596,0.686341798,0,5.490734386,0
17031340500,0,3.886010363,39.50777202,0,0,2.590673575,0.647668394,0,0,0,20.7253886,0,0,0.647668394,11.65803109,0,0,3.886010363,10.3626943,0,0,0,12.95336788,0,0,0,0,2.590673575,0,25.25906736,0.647668394,0.647668394,0,43.39378238,0
17031390200,0,9.782608696,30.43478261,0,0,8.152173913,0.543478261,0,0,0,22.82608696,0,0,0,1.086956522,0.543478261,0.543478261,8.152173913,5.97826087,0,0,0,7.608695652,0,0,0,0,3.804347826,0,11.95652174,1.086956522,0.543478261,0,3.260869565,0
17031840100,0,2.385008518,8.177172061,0,0,4.088586031,0,0,0,0.340715503,5.451448041,0,0,0,0.681431005,0,0,1.36286201,5.110732538,0,0,0,2.385008518,0,0,0,0,0.681431005,0,6.132879046,0.340715503,0.340715503,0,1.022146508,0
17031061902,0,1.179245283,8.962264151,0,0,1.886792453,0.235849057,0,0,0,3.066037736,0,0,0,0.235849057,0,0,0.235849057,3.066037736,0.235849057,0,0,0.943396226,0,0,0,0,1.41509434,0,1.886792453,0.70754717,0.471698113,0,3.537735849,0
